Approx. soln.,x,y
-7.5,-0.75,-1.0
-5.0,-0.5,-1.0
-2.5,-0.25,-1.0
0.0,0.0,-1.0
2.5,0.25,-1.0
5.0,0.5,-1.0
7.5,0.75,-1.0
10.0,1.0,-0.75
10.0,1.0,-0.5
10.0,1.0,-0.25
10.0,1.0,0.0
10.0,1.0,0.25
10.0,1.0,0.5
10.0,1.0,0.75
7.5,0.75,1.0
5.0,0.5,1.0
2.5,0.25,1.0
0.0,0.0,1.0
-2.5,-0.25,1.0
-5.0,-0.5,1.0
-7.5,-0.75,1.0
-10.0,-1.0,0.75
-10.0,-1.0,0.5
-10.0,-1.0,0.25
-10.0,-1.0,0.0
-10.0,-1.0,-0.25
-10.0,-1.0,-0.5
-10.0,-1.0,-0.75
-8.12853276138797,-0.75,-0.75
-5.975710180232105,-0.5,-0.75
-2.787925288766595,-0.25,-0.75
1.049066471374113,0.0,-0.75
4.872647992216805,0.25,-0.75
7.579893158083694,0.5,-0.75
8.930624234232388,0.75,-0.75
-9.038421412263093,-0.75,-0.5
-7.986383043151668,-0.5,-0.5
11.516301020296416,0.5,-0.5
10.642604376420943,0.75,-0.5
-10.038770414900307,-0.75,-0.25
12.123493075103328,0.75,-0.25
-10.259255959494315,-0.75,0.0
12.357388694403067,0.75,0.0
-10.039389633040345,-0.75,0.25
12.124112177255364,0.75,0.25
-9.042249642531798,-0.75,0.5
-7.9991628404118975,-0.5,0.5
11.52908052266727,0.5,0.5
10.646432551387369,0.75,0.5
-8.130446858113515,-0.75,0.75
-5.979538393138333,-0.5,0.75
-2.7885444265562565,-0.25,0.75
1.0490664670848129,0.0,0.75
4.873267152851449,0.25,0.75
7.583721343777453,0.5,0.75
8.932538311492982,0.75,0.75
13.2471257224679,0.6666666666666666,0.0
13.758609268814325,0.6159196883408578,0.25512228824339317
12.08138243270514,0.4714045207910317,0.4714045207910317
6.672049701213837,0.2551222882433932,0.6159196883408578
1.4017744097509421,4.082155997157844e-17,0.6666666666666666
-3.2817419096827507,-0.2551222882433931,0.6159196883408578
-8.110873635916505,-0.4714045207910316,0.4714045207910317
-10.36830178834498,-0.6159196883408578,0.2551222882433932
-10.443577205762267,-0.6666666666666666,8.164311994315688e-17
-10.36837824434042,-0.6159196883408579,-0.2551222882433931
-8.09604579534789,-0.4714045207910318,-0.4714045207910316
-3.2818185817450285,-0.25512228824339356,-0.6159196883408576
1.4017744231969118,-1.224646799147353e-16,-0.6666666666666666
6.6721262857317924,0.25512228824339334,-0.6159196883408578
12.06655503193906,0.47140452079103157,-0.4714045207910318
13.758685976266861,0.6159196883408576,-0.25512228824339356
