Approx. soln.,x,y
-8.75,-0.875,-1.0
-7.5,-0.75,-1.0
-6.25,-0.625,-1.0
-5.0,-0.5,-1.0
-3.75,-0.375,-1.0
-2.5,-0.25,-1.0
-1.25,-0.125,-1.0
0.0,0.0,-1.0
1.25,0.125,-1.0
2.5,0.25,-1.0
3.75,0.375,-1.0
5.0,0.5,-1.0
6.25,0.625,-1.0
7.5,0.75,-1.0
8.75,0.875,-1.0
10.0,1.0,-0.875
10.0,1.0,-0.75
10.0,1.0,-0.625
10.0,1.0,-0.5
10.0,1.0,-0.375
10.0,1.0,-0.25
10.0,1.0,-0.125
10.0,1.0,0.0
10.0,1.0,0.125
10.0,1.0,0.25
10.0,1.0,0.375
10.0,1.0,0.5
10.0,1.0,0.625
10.0,1.0,0.75
10.0,1.0,0.875
8.75,0.875,1.0
7.5,0.75,1.0
6.25,0.625,1.0
5.0,0.5,1.0
3.75,0.375,1.0
2.5,0.25,1.0
1.25,0.125,1.0
0.0,0.0,1.0
-1.25,-0.125,1.0
-2.5,-0.25,1.0
-3.75,-0.375,1.0
-5.0,-0.5,1.0
-6.25,-0.625,1.0
-7.5,-0.75,1.0
-8.75,-0.875,1.0
-10.0,-1.0,0.875
-10.0,-1.0,0.75
-10.0,-1.0,0.625
-10.0,-1.0,0.5
-10.0,-1.0,0.375
-10.0,-1.0,0.25
-10.0,-1.0,0.125
-10.0,-1.0,0.0
-10.0,-1.0,-0.125
-10.0,-1.0,-0.25
-10.0,-1.0,-0.375
-10.0,-1.0,-0.5
-10.0,-1.0,-0.625
-10.0,-1.0,-0.75
-10.0,-1.0,-0.875
-8.749997599601318,-0.875,-0.875
-7.499995958913695,-0.75,-0.875
-6.249995363982614,-0.625,-0.875
-4.99999514863889,-0.5,-0.875
-3.7499937172457902,-0.375,-0.875
-2.4999907106699273,-0.25,-0.875
-1.2499899531364276,-0.125,-0.875
1.3561646890063881e-05,0.0,-0.875
1.2500200727271926,0.125,-0.875
2.5000266545677876,0.25,-0.875
3.7500218958324325,0.375,-0.875
5.000013628321398,0.5,-0.875
6.250006379405435,0.625,-0.875
7.500001966110825,0.75,-0.875
8.750000221683885,0.875,-0.875
-8.749994487450945,-0.875,-0.75
-7.499990921612388,-0.75,-0.75
-6.249990387580625,-0.625,-0.75
-4.999991595894938,-0.5,-0.75
-3.7499889880939614,-0.375,-0.75
-2.4999787785173844,-0.25,-0.75
-1.2499826276503874,-0.125,-0.75
2.4169145906203283e-05,0.0,-0.75
1.250040185778344,0.125,-0.75
2.500064802246754,0.25,-0.75
3.750047376356386,0.375,-0.75
5.0000264191109425,0.5,-0.75
